property_id,property_slug,name,type,accommodation_type_id,url,thumbnails,address_street,address_city,address_country,geo_lat,geo_lng,stars,review_score,review_count,review_word,value_for_money_score,location_score,preferred,preferred_plus,autoextended,price_total,price_per_night,currency,taxes_included,free_cancellation_until,distance_to_centre_km,scrape_datetime,checkin,checkout,city_search,nb_nights
5954126,hotel-balladins-annecy-superior,Hôtel du Lac,Chambre d'hôtes,216,https://www.booking.com/hotel/fr/hotel-balladins-annecy-superior.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbm5lY3lIDVgEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AqSz1tAGwAIB0gIkOWRiMzFmZTYtODhkZS00NDhjLWFhZWQtNjEwNjU2MzJlODI52AIB4AIB&sid=de5d4b0eaebac46a92a2b4e11b1c37ed&all_sr_blocks=23081422_91467969_2_2_0&checkin=2026-06-19&checkout=2026-06-21&dist=0&group_adults=2&group_children=0&hapos=17&highlighted_blocks=23081422_91467969_2_2_0&hpos=17&matching_block_id=23081422_91467969_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=23081422_91467969_2_2_0__34951&srepoch=1779800502&srpvid=bd405b9272ec0631&type=total&ucfs=1&chal_t=1779800505084&force_referer=#tab-main,"[""https://www.booking.com/xdata/images/hotel/square600/562837684.jpg""]",28 Rue de la Paix,Grenoble,fr,43.57123,-1.224553,4.5,8.3,1656,Bien,7.9,9.0,True,False,False,347.02,173.51,EUR,True,,0.4,2026-05-26 14:30:00.000000+00:00,2026-07-03,2026-07-05,Grenoble,2
1274748,hotel-balladins-annecy-superior,Auberge Les Pins,Chambre d'hôtes,216,https://www.booking.com/hotel/fr/hotel-balladins-annecy-superior.fr.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTE0MDc3NjBIDVgEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AunX1tAGwAIB0gIkOWFhYjMyZTAtNThhMi00ODg4LWE5YTktYjQ2MzIyYWNiMTAx2AIB4AIB&sid=de5d4b0eaebac46a92a2b4e11b1c37ed&all_sr_blocks=23081422_91467969_2_2_0&checkin=2026-06-19&checkout=2026-06-21&dest_id=-1407760&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=24&highlighted_blocks=23081422_91467969_2_2_0&hpos=24&matching_block_id=23081422_91467969_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=23081422_91467969_2_2_0__34951&srepoch=1779805233&srpvid=0a9e64b4c6d901d9&type=total&ucfs=1&,"[""https://www.booking.com/xdata/images/hotel/square600/368227631.jpg""]",29 Rue de la Paix,Bayonne,fr,44.265645,0.228361,2.0,7.7,439,Agréable,6.8,8.7,True,False,False,377.42,188.71,EUR,True,,4.85,2026-05-26 14:30:00.000000+00:00,2026-06-19,2026-06-21,Bayonne,2
4459368,hotel-2,Le Relais Bleu,Hôtel,204,https://www.booking.com/searchresults.fr.html?ss=Annecy&checkin=2026-06-19&checkout=2026-06-21&group_adults=2&no_rooms=1&group_children=0&lang=fr&selected_currency=EUR,"[""https://www.booking.com/xdata/images/hotel/square600/519212169.jpg""]",30 Rue de la Paix,Biarritz,fr,43.493911,-1.982757,4.0,8.4,487,Très bien,7.8,9.8,False,False,False,535.04,267.52,EUR,True,,0.86,2026-05-26 14:30:00.000000+00:00,2026-06-19,2026-06-21,Biarritz,2
8920817,hotel-les-deux-rivières,Château des Brumes,Appartement,201,https://www.booking.com/hotel/fr/hotel-les-deux-rivières.fr.html,"[""https://www.booking.com/xdata/images/hotel/square600/639931481.jpg""]",11 Rue de la Paix,Biarritz,fr,43.171496,2.673421,2.0,8.6,1160,Exceptionnel,9.4,6.8,True,False,False,149.26,74.63,EUR,True,,0.44,2026-05-26 14:30:00.000000+00:00,2026-07-03,2026-07-05,Biarritz,2
9802396,logis-de-france-novel-rest-la-mamma,Hôtel Belle Étoile,Hôtel,204,https://www.booking.com/hotel/fr/logis-de-france-novel-rest-la-mamma.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbm5lY3lIDVgEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4Au231tAGwAIB0gIkYzhiOWY4OWMtYmZmNi00NDZhLTk1ZTctOTI5MjNhYTRlMzk32AIB4AIB&sid=de5d4b0eaebac46a92a2b4e11b1c37ed&all_sr_blocks=5518613_149014237_2_1_0&checkin=2026-06-19&checkout=2026-06-21&dist=0&group_adults=2&group_children=0&hapos=24&highlighted_blocks=5518613_149014237_2_1_0&hpos=24&matching_block_id=5518613_149014237_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=5518613_149014237_2_1_0__42855&srepoch=1779801426&srpvid=4cfa5cb686000062&type=total&ucfs=1&,"[""https://www.booking.com/xdata/images/hotel/square600/550139320.jpg""]",37 Rue de la Paix,Biarritz,fr,44.783557,2.955052,4.0,7.3,1873,Agréable,7.4,7.4,False,False,False,393.44,196.72,EUR,True,,1.27,2026-05-26 14:30:00.000000+00:00,2026-07-17,2026-07-19,Biarritz,2
1687407,le-parmelan,Résidence Les Acacias,Appartement,201,https://www.booking.com/hotel/fr/le-parmelan.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbm5lY3lIDVgEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4Au231tAGwAIB0gIkYzhiOWY4OWMtYmZmNi00NDZhLTk1ZTctOTI5MjNhYTRlMzk32AIB4AIB&sid=de5d4b0eaebac46a92a2b4e11b1c37ed&all_sr_blocks=823711601_372054471_2_0_0&checkin=2026-06-19&checkout=2026-06-21&dist=0&group_adults=2&group_children=0&hapos=94&highlighted_blocks=823711601_372054471_2_0_0&hpos=22&matching_block_id=823711601_372054471_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=823711601_372054471_2_0_0__15132&srepoch=1779801075&srpvid=4cfa5cb686000062&type=total&ucfs=1&#tab-main,"[""https://www.booking.com/xdata/images/hotel/square600/704509817.jpg""]",5 Rue de la Paix,Biarritz,fr,43.027946,2.969274,3.5,8.3,1952,Agréable,7.1,7.4,False,False,False,480.9,240.45,EUR,True,,4.42,2026-05-26 14:30:00.000000+00:00,2026-06-19,2026-06-21,Biarritz,2
8884152,hotel-belle-etoile,Le Moulin Rouge Hôtel,Hôtel,204,https://www.booking.com/hotel/fr/hotel-belle-etoile.fr.html,"[""https://www.booking.com/xdata/images/hotel/square600/802201721.jpg""]",1 Rue de la Paix,Bayonne,fr,44.835033,5.897865,3.5,7.4,1757,Agréable,7.4,8.8,True,False,False,380.74,190.37,EUR,True,,1.4,2026-05-26 14:30:00.000000+00:00,2026-07-03,2026-07-05,Bayonne,2
8489356,le-luxury-design-de-la-vieille-ville,Villa Bord de Mer,Hôtel,204,https://www.booking.com/hotel/fr/le-luxury-design-de-la-vieille-ville.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbm5lY3lIDVgEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AoHP1tAGwAIB0gIkM2Y5MDRkZjUtMmM4ZC00ODEwLTgwZTYtZmFkY2FhYzU3N2I22AIB4AIB&sid=de5d4b0eaebac46a92a2b4e11b1c37ed&all_sr_blocks=757134603_332650530_2_0_0&checkin=2026-06-19&checkout=2026-06-21&dist=0&group_adults=2&group_children=0&hapos=22&highlighted_blocks=757134603_332650530_2_0_0&hpos=22&matching_block_id=757134603_332650530_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=757134603_332650530_2_0_0__45600&srepoch=1779804071&srpvid=2bf1628069ae01b4&type=total&ucfs=1&,"[""https://www.booking.com/xdata/images/hotel/square600/383450553.jpg""]",32 Rue de la Paix,Grenoble,fr,43.610792,3.073904,3.0,7.8,1288,Très bien,9.2,9.4,True,False,False,221.1,110.55,EUR,True,,3.21,2026-05-26 14:30:00.000000+00:00,2026-07-03,2026-07-05,Grenoble,2
7185395,hotel-lac-et-foret,Hôtel des Voyageurs,Appartement,201,https://www.booking.com/hotel/fr/hotel-lac-et-foret.fr.html,"[""https://www.booking.com/xdata/images/hotel/square600/857704655.jpg""]",36 Rue de la Paix,Annecy,fr,43.484746,1.534684,2.0,7.9,317,Exceptionnel,6.8,9.7,True,False,False,425.82,212.91,EUR,True,,2.77,2026-05-26 14:30:00.000000+00:00,2026-07-03,2026-07-05,Annecy,2
6013042,hotel-balladins-annecy-superior,Le Grand Cerf,Appartement,201,https://www.booking.com/hotel/fr/hotel-balladins-annecy-superior.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbm5lY3lIDVgEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AqSz1tAGwAIB0gIkOWRiMzFmZTYtODhkZS00NDhjLWFhZWQtNjEwNjU2MzJlODI52AIB4AIB&sid=de5d4b0eaebac46a92a2b4e11b1c37ed&all_sr_blocks=23081422_91467969_2_2_0&checkin=2026-06-19&checkout=2026-06-21&dist=0&group_adults=2&group_children=0&hapos=17&highlighted_blocks=23081422_91467969_2_2_0&hpos=17&matching_block_id=23081422_91467969_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=23081422_91467969_2_2_0__34951&srepoch=1779800502&srpvid=bd405b9272ec0631&type=total&ucfs=1&,"[""https://www.booking.com/xdata/images/hotel/square600/142836793.jpg""]",14 Rue de la Paix,Grenoble,fr,45.696944,4.368978,4.5,7.4,311,Superbe,8.5,7.7,False,False,False,140.08,70.04,EUR,True,,4.87,2026-05-26 14:30:00.000000+00:00,2026-07-03,2026-07-05,Grenoble,2
6917400,hotel-de-la-paix,Hôtel de la Paix,Chambre d'hôtes,216,https://www.booking.com/hotel/fr/hotel-de-la-paix.fr.html,"[""https://www.booking.com/xdata/images/hotel/square600/456681425.jpg""]",43 Rue de la Paix,Biarritz,fr,43.074359,3.892516,3.0,9.4,1688,Superbe,7.3,9.2,True,False,False,509.18,254.59,EUR,True,,1.97,2026-05-26 14:30:00.000000+00:00,2026-07-03,2026-07-05,Biarritz,2
407023,hotel-balladins-annecy-superior,Auberge du Vieux Pont,Hôtel,204,https://www.booking.com/hotel/fr/hotel-balladins-annecy-superior.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbm5lY3lIDVgEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AqSz1tAGwAIB0gIkOWRiMzFmZTYtODhkZS00NDhjLWFhZWQtNjEwNjU2MzJlODI52AIB4AIB&sid=de5d4b0eaebac46a92a2b4e11b1c37ed&all_sr_blocks=23081422_91467969_2_2_0&checkin=2026-06-19&checkout=2026-06-21&dist=0&group_adults=2&group_children=0&hapos=17&highlighted_blocks=23081422_91467969_2_2_0&hpos=17&matching_block_id=23081422_91467969_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=23081422_91467969_2_2_0__34951&srepoch=1779800502&srpvid=bd405b9272ec0631&type=total&ucfs=1&,"[""https://www.booking.com/xdata/images/hotel/square600/339362341.jpg""]",43 Rue de la Paix,Pau,fr,45.461609,4.970584,3.0,7.6,1930,Superbe,7.7,7.4,True,False,False,340.94,170.47,EUR,True,,4.84,2026-05-26 14:30:00.000000+00:00,2026-07-03,2026-07-05,Pau,2
9750679,le-parmelan,Hôtel Les Deux Rivières,Appartement,201,https://www.booking.com/hotel/fr/le-parmelan.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbm5lY3lIDVgEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4Au231tAGwAIB0gIkYzhiOWY4OWMtYmZmNi00NDZhLTk1ZTctOTI5MjNhYTRlMzk32AIB4AIB&sid=de5d4b0eaebac46a92a2b4e11b1c37ed&all_sr_blocks=823711601_372054471_2_0_0&checkin=2026-06-19&checkout=2026-06-21&dist=0&group_adults=2&group_children=0&hapos=94&highlighted_blocks=823711601_372054471_2_0_0&hpos=22&matching_block_id=823711601_372054471_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=823711601_372054471_2_0_0__15132&srepoch=1779801075&srpvid=4cfa5cb686000062&type=total&ucfs=1&#tab-main,"[""https://www.booking.com/xdata/images/hotel/square600/291735734.jpg""]",17 Rue de la Paix,Bayonne,fr,43.346025,5.763205,4.5,8.1,1777,Exceptionnel,6.8,8.0,False,False,False,377.38,188.69,EUR,True,,2.24,2026-05-26 14:30:00.000000+00:00,2026-06-19,2026-06-21,Bayonne,2
